Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
484;49100,21;28609,39;5412,516;-3267,572;49100,21;28609,39
485;48671,77;28809,08;3359,607;-1452,019;48671,77;28809,08
486;27593,5;49066,6;8648,327;-5772,106;27593,5;49066,6
487;28241,45;26825,38;7239,874;-3797,693;28241,45;26825,38
488;48734,2;45095,07;3447,684;-1107,061;48734,2;45095,07
489;48669,22;28240,32;6219,814;-3223,031;48669,22;28240,32
490;27339,4;26901,71;3943,574;-1962,976;27339,4;26901,71
491;48710,04;27219,58;3792,855;-2942,563;48710,04;27219,58
492;26762,1;28555,96;136,8149;2165,747;26762,1;28555,96
493;48717,25;28098,45;7114,28;-5012,939;48717,25;28098,45
494;48648,56;28689,3;6226,136;-3192,731;48648,56;28689,3
495;27296,64;30082,66;7439,487;-3997,727;27296,64;30082,66
496;48745,48;27937,38;11666,58;-9026,088;48745,48;27937,38
497;26628,52;29028,86;1312,677;1048,543;26628,52;29028,86
498;28192,62;49001,16;4112,83;-787,4278;28192,62;49001,16
499;48604,12;27860,79;3774,062;-440,0455;48604,12;27860,79
500;48722,29;27211,89;11728,44;-9257,896;48722,29;27211,89
501;28158,1;49661,52;3231,752;-1137,64;28158,1;49661,52
502;28791,86;28622,71;1755,521;1242,674;28791,86;28622,71
503;48689,3;28974,51;9558,546;-7583,58;48689,3;28974,51
504;49383,4;29033,2;461,4578;2741,554;49383,4;29033,2
505;27718,53;29086,49;6887,095;-4432,913;27718,53;29086,49
506;27679,63;27808,55;9727,053;-6885,623;27679,63;27808,55
507;29751,08;48947,57;-1106,547;3462,398;29751,08;48947,57
508;48825,1;28103,63;6013,859;-3832,932;48825,1;28103,63
509;27818,1;50756,45;6948,71;-5127,973;27818,1;50756,45
510;27857,15;29053,54;5813,921;-3412,23;27857,15;29053,54
511;49277;28714,57;7655,263;-5646,335;49277;28714,57
512;27616,39;28491,76;6430,221;-4390,015;27616,39;28491,76
513;27731,23;29155,37;6940,283;-5835,534;27731,23;29155,37
514;49565,14;28475,56;6422,431;-2963,109;49565,14;28475,56
515;49776,79;29469,13;1558,158;1396,272;49776,79;29469,13
516;49216,78;27505,98;10292,72;-7998,367;49216,78;27505,98
517;48614,97;27626,3;2632,162;-386,8125;48614,97;27626,3
518;48826,84;27775,76;2841,1;565,5483;48826,84;27775,76
519;48744,62;49647,9;4911,091;-1273,634;48744,62;49647,9
520;27820,42;28582,99;2902,487;-51,03435;27820,42;28582,99
521;49167,31;28836,74;5052,729;-2332,112;49167,31;28836,74
522;48725,13;28774,52;10238,55;-7243,752;48725,13;28774,52
523;48808,72;29085,45;7235,758;-5783,44;48808,72;29085,45
524;48672,89;28592,01;5711,233;-4480,616;48672,89;28592,01
525;27617,2;28272,67;2835,612;4,190803;27617,2;28272,67
526;27227,81;49092,38;1045,795;1039,365;27227,81;49092,38
527;48663,92;27141,55;10864,04;-8740,14;48663,92;27141,55
528;27662,62;27502,59;5294,953;-3451,499;27662,62;27502,59
529;27869,89;27384,65;5062,987;-2845,957;27869,89;27384,65
530;48635,26;27716,85;1425,867;1093,165;48635,26;27716,85
531;28255,51;29068,07;5015,006;-2420,831;28255,51;29068,07
532;48636,5;29168,03;8259,739;-4492,358;48636,5;29168,03
533;48585,27;28599,94;5966,16;-1877,764;48585,27;28599,94
534;49290,92;28960,26;5171,318;-1860,212;49290,92;28960,26
535;48829,23;29450,24;6578,154;-3355,112;48829,23;29450,24
536;49180,12;28869,31;10877,3;-8413,498;49180,12;28869,31
537;49527,95;48872,61;4290,879;-1996,227;49527,95;48872,61
538;28052,12;28980,13;4883,881;-1927,67;28052,12;28980,13
539;28399,96;29455,52;3965,789;-923,0099;28399,96;29455,52
540;48925,45;27381,54;9068,067;-6403,705;48925,45;27381,54
541;27286,88;28187,88;2735,634;1143,38;27286,88;28187,88
542;27166,43;29599,58;2998,962;-116,9019;27166,43;29599,58
543;27756,24;28534,99;1765,426;1385,437;27756,24;28534,99
544;27248,36;48753,4;1727,021;363,0438;27248,36;48753,4
545;27735,44;28329,19;628,6998;3551,393;27735,44;28329,19
546;48888,64;29173,7;2818,936;881,5637;48888,64;29173,7
547;49026,39;28317,93;5910,167;-2236,985;49026,39;28317,93
548;27932,69;28611,86;7702,257;-3944,403;27932,69;28611,86
549;48709,28;27600,49;8497,922;-5614,258;48709,28;27600,49
550;48664,8;27902,78;3013,383;-125,3617;48664,8;27902,78
551;48923,89;27504,84;8526,713;-4947,16;48923,89;27504,84
552;27720,26;28159,86;2469,379;116,5461;27720,26;28159,86
553;48661,24;28422,34;7483,271;-5517,584;48661,24;28422,34
554;49324,14;28153,29;6376,033;-3204,34;49324,14;28153,29
555;48658,38;28034,97;5710,488;-2978,605;48658,38;28034,97
556;49153,68;28399,21;2115,251;912,5973;49153,68;28399,21
557;27691,19;48829,85;1697,95;485,0661;27691,19;48829,85
558;48645,63;28756,93;4165,501;-2438,484;48645,63;28756,93
559;26968,89;27377,47;-2732,896;4369,509;26968,89;27377,47
560;48833,64;28894,71;1944,908;169,4167;48833,64;28894,71
561;26586,9;28046,07;-389,2559;3748,657;26586,9;28046,07
562;27768,48;50070,83;126,171;1986,855;27768,48;50070,83
563;28152,23;27363,57;1697,357;274,9794;28152,23;27363,57
564;48632,4;27876,66;258,9589;726,0688;48632,4;27876,66
565;27778,16;28326,77;3393,037;-2929,059;27778,16;28326,77
566;28869,09;48861,27;563,451;2514,618;28869,09;48861,27
567;49904,99;49205,94;-9950,348;7732,98;49904,99;49205,94
568;29114,52;49677,88;-4080,343;5822,494;29114,52;49677,88
569;28477,47;48975,41;-5043,542;7055,669;28477,47;48975,41
570;29413,66;70949,41;-87,23771;4859,726;29413,66;70949,41
571;28682;49877,4;-17526,08;16094,41;28682;49877,4
572;49865,55;49472,34;-852,1659;3429,077;49865,55;49472,34
573;49856,54;49350,3;-9361,355;8683,48;49856,54;49350,3
574;28934,22;48983,16;-30,29013;2285,347;28934,22;48983,16
575;50088,76;28577,3;-304,6634;2805,661;50088,76;28577,3
576;29254,03;49941,44;-9,772487;-584,2193;29254,03;49941,44
577;28450,43;29065,51;-9452,789;10165,92;28450,43;29065,51
578;28669,58;44917,16;-5647,825;6470,026;28669,58;44917,16
579;27816,28;49001,23;-13701,49;7726,438;27816,28;49001,23
